ID,attestedName,romanizedName,nameLanguage
322,Ржевский уѣздѣ,Rzhevskii uiezdie,Russian (Old Orthography)
323,Режицкий уѣздѣ,Rezhitskii uiezdie,Russian (Old Orthography)
324,Солигаличский уѣздѣ,Soligalichskii uiezdie,Russian (Old Orthography)
325,Старооскольский уѣздѣ,Starooskol'skii uiezdie,Russian (Old Orthography)
326,Устюженский уѣздѣ,Ustiuzhenskii uiezdie,Russian (Old Orthography)
327,Фридрихсгамский уѣздѣ,Fridrikhsgamskii uiezdie,Russian (Old Orthography)
328,Хоперский уѣздѣ,Khoperskii uiezdie,Russian (Old Orthography)
329,Далматовский уѣздѣ,Dalmatovskii uiezdie,Russian (Old Orthography)
330,Хотьмышский уѣздѣ,Khot'myshskii uiezdie,Russian (Old Orthography)
331,Чаусский уѣздѣ,Chausskii uiezdie,Russian (Old Orthography)
332,Чембарский уѣздѣ,Chembarskii uiezdie,Russian (Old Orthography)
333,Чердынский уѣздѣ,Cherdynskii uiezdie,Russian (Old Orthography)
334,Шишкеевский уѣздѣ,Shishkeevskii uiezdie,Russian (Old Orthography)
335,Архангельскъ,"Arkhangel'sk""",Russian (Old Orthography)
336,Воронежъ,"Voronezh""",Russian (Old Orthography)
337,Выборгъ,"Vyborg""",Russian (Old Orthography)
338,Иркутскъ,"Irkutsk""",Russian (Old Orthography)
339,Астрахань,Astrakhan',Russian (Old Orthography)
340,Кострома,Kostroma,Russian (Old Orthography)
341,Полотскъ,"Polotsk""",Russian (Old Orthography)
342,Саратовъ,"Saratov""",Russian (Old Orthography)
343,Синбирскъ,"Sinbirsk""",Russian (Old Orthography)
344,Смоленскъ,"Smolensk""",Russian (Old Orthography)
345,Тамбовъ,"Tambov""",Russian (Old Orthography)
346,Тверь,Tver',Russian (Old Orthography)
347,Тобольскъ,"Tobol'sk""",Russian (Old Orthography)
348,Тула,Tula,Russian (Old Orthography)
349,Алатырь,Alatyr',Russian (Old Orthography)
350,Алексинъ,"Aleksin""",Russian (Old Orthography)
351,Арзамасъ,"Arzamas""",Russian (Old Orthography)
352,Ахтырка,Akhtyrka,Russian (Old Orthography)
353,Бѣжецкъ,"Biezhetsk""",Russian (Old Orthography)
354,Бѣлгородъ,"Bielgorod""",Russian (Old Orthography)
355,Бѣлозерскъ,"Bielozersk""",Russian (Old Orthography)
356,Валуйки,Valuiki,Russian (Old Orthography)
357,Веневъ,"Venev""",Russian (Old Orthography)
358,Верея,Vereia,Russian (Old Orthography)
359,Верхній Удинскъ,"Verkhnіi Udinsk""",Russian (Old Orthography)
360,Волоколамскъ,"Volokolamsk""",Russian (Old Orthography)
361,Гадячь,Gadiach',Russian (Old Orthography)
362,Гороховецъ,"Gorokhovets""",Russian (Old Orthography)
363,Динабургъ,"Dinaburg""",Russian (Old Orthography)
364,Дмитровъ,"Dmitrov""",Russian (Old Orthography)
365,Донковъ,"Donkov""",Russian (Old Orthography)
366,Елецъ,"Elets""",Russian (Old Orthography)
367,Епифань,Epifan',Russian (Old Orthography)
368,Зарайскъ,"Zaraisk""",Russian (Old Orthography)
369,Звенигородъ,"Zvenigorod""",Russian (Old Orthography)
370,Зубцовъ,"Zubtsov""",Russian (Old Orthography)
371,Изюмъ,"Izium""",Russian (Old Orthography)
372,Касимовъ,"Kasimov""",Russian (Old Orthography)
373,Кашинъ,"Kashin""",Russian (Old Orthography)
374,Кошира,Koshira,Russian (Old Orthography)
375,Керенскъ,"Kerensk""",Russian (Old Orthography)
376,Кинешма,Kineshma,Russian (Old Orthography)
377,Киренскъ,"Kirensk""",Russian (Old Orthography)
378,Козельскъ,"Kozel'sk""",Russian (Old Orthography)
379,Коломна,Kolomna,Russian (Old Orthography)
380,Кароча,Karocha,Russian (Old Orthography)
381,Краснослободскъ,"Krasnoslobodsk""",Russian (Old Orthography)
382,Ливны,Livny,Russian (Old Orthography)
383,Любимъ,"Liubim""",Russian (Old Orthography)
384,Миргородъ,"Mirgorod""",Russian (Old Orthography)
385,Мирополье,Miropol'e,Russian (Old Orthography)
386,Можайскъ,"Mozhaisk""",Russian (Old Orthography)
387,Мстиславль,Mstislavl',Russian (Old Orthography)
388,Наровчатъ,"Narovchat""",Russian (Old Orthography)
389,Новосиль,Novosil',Russian (Old Orthography)
390,Нѣжинъ,"Niezhin""",Russian (Old Orthography)
391,Островъ,"Ostrov""",Russian (Old Orthography)
392,Переяславль,Pereiaslavl',Russian (Old Orthography)
393,Петровскъ,"Petrovsk""",Russian (Old Orthography)
394,Пирятинъ,"Piriatin""",Russian (Old Orthography)
395,Пошехонь,Poshekhon',Russian (Old Orthography)
396,Рогачевъ,"Rogachev""",Russian (Old Orthography)
397,Ростовъ,"Rostov""",Russian (Old Orthography)
398,Руза,Ruza,Russian (Old Orthography)
399,Свіажскъ,"Svіazhsk""",Russian (Old Orthography)
400,Старой Быховъ,"Staroi Bykhov""",Russian (Old Orthography)
401,Суздаль,Suzdal',Russian (Old Orthography)
402,Темниковъ,"Temnikov""",Russian (Old Orthography)
403,Челябинскъ,"Cheliabinsk""",Russian (Old Orthography)
404,Чериковъ,"Cherikov""",Russian (Old Orthography)
405,Чухлома,Chukhloma,Russian (Old Orthography)
406,Юрьевецъ Поволгскій,"Iur'evets"" Povolgskіi",Russian (Old Orthography)
407,Яренскъ,"Iarensk""",Russian (Old Orthography)
408,Анаево,Anaevo,Russian (Old Orthography)
409,Атемаръ,"Atemar""",Russian (Old Orthography)
410,Аткарскъ,"Atkarsk""",Russian (Old Orthography)
411,Барышевка,Baryshevka,Russian (Old Orthography)
412,Батуринъ,"Baturin""",Russian (Old Orthography)
413,Березники,Berezniki,Russian (Old Orthography)
414,Билярскъ,"Biliarsk""",Russian (Old Orthography)
415,Биржа,Birzha,Russian (Old Orthography)
416,Бобровица,Bobrovitsa,Russian (Old Orthography)
417,Богодуховъ,"Bogodukhov""",Russian (Old Orthography)
418,Борзна,Borzna,Russian (Old Orthography)
419,Борисоглѣбскъ,"Borisogliebsk""",Russian (Old Orthography)
420,Борисполь,Borispol',Russian (Old Orthography)
421,Боровенки,Borovenki,Russian (Old Orthography)
422,Бронницы,Bronnitsy,Russian (Old Orthography)
423,Брянскъ,"Briansk""",Russian (Old Orthography)
424,Бучалки,Buchalki,Russian (Old Orthography)
425,Бѣлая Колпь,Bielaia Kolp',Russian (Old Orthography)
426,Бѣлополье,Bielopol'e,Russian (Old Orthography)
427,Варва,Varva,Russian (Old Orthography)
428,Вашка,Vashka,Russian (Old Orthography)
429,Вейделевка,Veidelevka,Russian (Old Orthography)
430,Велижъ,"Velizh""",Russian (Old Orthography)
431,Венденъ,"Venden""",Russian (Old Orthography)
432,Весіегонскъ,"Vesіegonsk""",Russian (Old Orthography)
433,Волмаръ,"Volmar""",Russian (Old Orthography)
434,Воронежъ,"Voronezh""",Russian (Old Orthography)
435,Воронковъ,"Voronkov""",Russian (Old Orthography)
436,Вревъ,"Vrev""",Russian (Old Orthography)
437,Вязники,Viazniki,Russian (Old Orthography)
438,Гдовъ,"Gdov""",Russian (Old Orthography)
439,Глинскъ,"Glinsk""",Russian (Old Orthography)
440,Гоголевъ,"Gogolev""",Russian (Old Orthography)
441,Голтва,Goltva,Russian (Old Orthography)
442,Горбатовъ,"Gorbatov""",Russian (Old Orthography)
443,Горошинъ,"Goroshin""",Russian (Old Orthography)
444,Гремячевъ,"Gremiachev""",Russian (Old Orthography)
445,Гритчино,Gritchino,Russian (Old Orthography)
446,Грязное,Griaznoe,Russian (Old Orthography)
447,Грязовецъ,"Griazovets""",Russian (Old Orthography)
448,Дагда,Dagda,Russian (Old Orthography)
449,Двурѣчная,Dvuriechnaia,Russian (Old Orthography)
450,Деймановка,Deimanovka,Russian (Old Orthography)
451,Добрая,Dobraia,Russian (Old Orthography)
452,Душатинъ,"Dushatin""",Russian (Old Orthography)
453,Дѣдиново,Diedinovo,Russian (Old Orthography)
454,Елатма,Elatma,Russian (Old Orthography)
455,Елна,Elna,Russian (Old Orthography)
456,Жиганскъ,"Zhigansk""",Russian (Old Orthography)
457,Жиздра,Zhizdra,Russian (Old Orthography)
458,Задушное,Zadushnoe,Russian (Old Orthography)
459,Замошье,Zamosh'e,Russian (Old Orthography)
460,Зашиверскъ,"Zashiversk""",Russian (Old Orthography)
461,Землянскъ,"Zemliansk""",Russian (Old Orthography)
462,Змѣтневъ,"Zmietnev""",Russian (Old Orthography)
463,Золотоноша,Zolotonosha,Russian (Old Orthography)
464,Иса,Isa,Russian (Old Orthography)
465,Калиберда,Kaliberda,Russian (Old Orthography)
466,Калинкино,Kalinkino,Russian (Old Orthography)
467,Камышня,Kamyshnia,Russian (Old Orthography)
468,Кесова Гора,Kesova Gora,Russian (Old Orthography)
469,Кимры,Kimry,Russian (Old Orthography)
470,Кистеръ,"Kister""",Russian (Old Orthography)
471,Ковровъ,"Kovrov""",Russian (Old Orthography)
472,Козелецъ,"Kozelets""",Russian (Old Orthography)
473,Корсунь,Korsun',Russian (Old Orthography)
474,Котельва,Kotel'va,Russian (Old Orthography)
475,Котельничь,Kotel'nich',Russian (Old Orthography)
476,Кочелаево,Kochelaevo,Russian (Old Orthography)
477,Крапивна,Krapivna,Russian (Old Orthography)
478,Крапивна,Krapivna,Russian (Old Orthography)
479,Красноборскъ,"Krasnoborsk""",Russian (Old Orthography)
480,Краснокутскъ,"Krasnokutsk""",Russian (Old Orthography)
481,Краснополье,Krasnopol'e,Russian (Old Orthography)
482,Кромы,Kromy,Russian (Old Orthography)
483,Крыловъ,"Krylov""",Russian (Old Orthography)
484,Кубенское,Kubenskoe,Russian (Old Orthography)
485,Кузнецкъ,"Kuznetsk""",Russian (Old Orthography)
486,Куреньки,Kuren'ki,Russian (Old Orthography)
487,Лазовица,Lazovitsa,Russian (Old Orthography)
488,Лаишевъ,"Laishev""",Russian (Old Orthography)
489,Лальскъ,"Lal'sk""",Russian (Old Orthography)
490,Липецкъ,"Lipetsk""",Russian (Old Orthography)
491,Лихвинъ,"Likhvin""",Russian (Old Orthography)
492,Лохвица,Lokhvitsa,Russian (Old Orthography)
493,Любечь,Liubech',Russian (Old Orthography)
494,Лютенка,Liutenka,Russian (Old Orthography)
495,Макарьевъ,"Makar'ev""",Russian (Old Orthography)
496,Вытегра,Vytegra,Russian (Old Orthography)
497,Лебединъ,"Lebedin""",Russian (Old Orthography)
498,Сапожокъ,"Sapozhok""",Russian (Old Orthography)
499,Дерптъ,"Derpt""",Russian (Old Orthography)
500,Коротоякъ,"Korotoiak""",Russian (Old Orthography)
501,Богородскъ,"Bogorodsk""",Russian (Old Orthography)
502,Воскресенскъ,"Voskresensk""",Russian (Old Orthography)
503,Ефремовъ,"Efremov""",Russian (Old Orthography)
504,Боровскъ,"Borovsk""",Russian (Old Orthography)
505,Опочка,Opochka,Russian (Old Orthography)
506,Юрьевъ Польскій,"Iur'ev"" Pol'skіi",Russian (Old Orthography)
507,Сумы,Sumy,Russian (Old Orthography)
508,Лухъ,"Lukh""",Russian (Old Orthography)
509,Старая Руза,Staraia Ruza,Russian (Old Orthography)
510,Инсара,Insara,Russian (Old Orthography)
511,Шуя,Shuia,Russian (Old Orthography)
512,Бобровское,Bobrovskoe,Russian (Old Orthography)
513,Богородицкъ,"Bogoroditsk""",Russian (Old Orthography)
514,Борятино,Boriatino,Russian (Old Orthography)
515,Ирбитъ,"Irbit""",Russian (Old Orthography)
516,Ладога Новая,Ladoga Novaia,Russian (Old Orthography)
517,Макарьевъ,"Makar'ev""",Russian (Old Orthography)
518,Махоново,Makhonovo,Russian (Old Orthography)
519,Маяки,Maiaki,Russian (Old Orthography)
520,Медынь,Medyn',Russian (Old Orthography)
521,Мена,Mena,Russian (Old Orthography)
522,Мещовскъ,"Meshchovsk""",Russian (Old Orthography)
523,Милославичи,Miloslavichi,Russian (Old Orthography)
524,Миротино,Mirotino,Russian (Old Orthography)
525,Митякинская,Mitiakinskaia,Russian (Old Orthography)
526,Михайловъ,"Mikhailov""",Russian (Old Orthography)
527,Мишуринъ Рогъ,"Mishurin"" Rog""",Russian (Old Orthography)
528,Молвитино,Molvitino,Russian (Old Orthography)
529,Монастырщина,Monastyrshchina,Russian (Old Orthography)
530,Моршанскъ,"Morshansk""",Russian (Old Orthography)
531,Мосальскъ,"Mosal'sk""",Russian (Old Orthography)
532,Мостки,Mostki,Russian (Old Orthography)
533,Мостовское,Mostovskoe,Russian (Old Orthography)
534,Мринъ,"Mrin""",Russian (Old Orthography)
535,Муриково,Murikovo,Russian (Old Orthography)
536,Муромъ,"Murom""",Russian (Old Orthography)
537,Мценскъ,"Mtsensk""",Russian (Old Orthography)
538,Мышкинъ,"Myshkin""",Russian (Old Orthography)
539,Недригайловъ,"Nedrigailov""",Russian (Old Orthography)
540,Носовка,Nosovka,Russian (Old Orthography)
541,Обоянь,Oboian',Russian (Old Orthography)
542,Обрубъ,"Obrub""",Russian (Old Orthography)
543,Одоевъ,"Odoev""",Russian (Old Orthography)
544,Олекминскъ,"Olekminsk""",Russian (Old Orthography)
545,Олонецъ,"Olonets""",Russian (Old Orthography)
546,Омельникъ,"Omel'nik""",Russian (Old Orthography)
547,Опушка,Opushka,Russian (Old Orthography)
548,Остапье,Ostap'e,Russian (Old Orthography)
549,Осташковъ,"Ostashkov""",Russian (Old Orthography)
550,Острогожскъ,"Ostrogozhsk""",Russian (Old Orthography)
551,Парское,Parskoe,Russian (Old Orthography)
552,Переволочна,Perevolochna,Russian (Old Orthography)
553,Перемышль,Peremyshl',Russian (Old Orthography)
554,Петровскъ,"Petrovsk""",Russian (Old Orthography)
555,Печенѣги,Pecheniegi,Russian (Old Orthography)
556,Плесъ,"Ples""",Russian (Old Orthography)
557,Покровское,Pokrovskoe,Russian (Old Orthography)
558,Понорница,Ponornitsa,Russian (Old Orthography)
559,Потокъ,"Potok""",Russian (Old Orthography)
560,Презма,Prezma,Russian (Old Orthography)
561,Прели,Preli,Russian (Old Orthography)
562,Протопопова,Protopopova,Russian (Old Orthography)
563,Путивль,Putivl',Russian (Old Orthography)
564,Пуша,Pusha,Russian (Old Orthography)
565,Пятницкое,Piatnitskoe,Russian (Old Orthography)
566,Ратковка,Ratkovka,Russian (Old Orthography)
567,Рашевка,Rashevka,Russian (Old Orthography)
568,Ружное,Ruzhnoe,Russian (Old Orthography)
569,Рыбинскъ,"Rybinsk""",Russian (Old Orthography)
570,Рыльскъ,"Ryl'sk""",Russian (Old Orthography)
571,Ряжскъ,"Riazhsk""",Russian (Old Orthography)
572,Самара,Samara,Russian (Old Orthography)
573,Сарбаево,Sarbaevo,Russian (Old Orthography)
574,Сенкова,Senkova,Russian (Old Orthography)
575,Сергачь,Sergach',Russian (Old Orthography)
576,Сердоболь,Serdobol',Russian (Old Orthography)
577,Сердобскъ,"Serdobsk""",Russian (Old Orthography)
578,Середина Буда,Seredina Buda,Russian (Old Orthography)
579,Серпейскъ,"Serpeisk""",Russian (Old Orthography)
580,Серпуховъ,"Serpukhov""",Russian (Old Orthography)
581,Смѣлое,Smieloe,Russian (Old Orthography)
582,Соль-Вычегодскъ,"Sol'-Vychegodsk""",Russian (Old Orthography)
583,Сребное,Srebnoe,Russian (Old Orthography)
584,Ставрополь,Stavropol',Russian (Old Orthography)
585,Старая Рязань,Staraia Riazan',Russian (Old Orthography)
586,Старинское,Starinskoe,Russian (Old Orthography)
587,Стоянцы,Stoiantsy,Russian (Old Orthography)
588,Судай,Sudai,Russian (Old Orthography)
589,Суджа,Sudzha,Russian (Old Orthography)
590,Сухари,Sukhari,Russian (Old Orthography)
591,Сѣвскъ,"Sievsk""",Russian (Old Orthography)
592,Таруса,Tarusa,Russian (Old Orthography)
593,Тискады,Tiskady,Russian (Old Orthography)
594,Тихвинъ,"Tikhvin""",Russian (Old Orthography)
595,Тихонова,Tikhonova,Russian (Old Orthography)
596,Томаровка,Tomarovka,Russian (Old Orthography)
597,Торопецъ,"Toropets""",Russian (Old Orthography)
598,Троицкъ,"Troitsk""",Russian (Old Orthography)
599,Троицкая,Troitskaia,Russian (Old Orthography)
600,Тюртень,Tiurten',Russian (Old Orthography)
601,Угличъ,"Uglich""",Russian (Old Orthography)
602,Уразова,Urazova,Russian (Old Orthography)
603,Уральскъ,"Ural'sk""",Russian (Old Orthography)
604,Устивица,Ustivitsa,Russian (Old Orthography)
605,Усть-Сысольскъ,"Ust'-Sysol'sk""",Russian (Old Orthography)
606,Устюгъ Великій,"Ustiug"" Velikіi",Russian (Old Orthography)
607,Фатежъ,"Fatezh""",Russian (Old Orthography)
608,Феллинъ,"Fellin""",Russian (Old Orthography)
609,Хвалынскъ,"Khvalynsk""",Russian (Old Orthography)
610,Херсонъ,"Kherson""",Russian (Old Orthography)
611,Ховань,Khovan',Russian (Old Orthography)
612,Хотень,Khoten',Russian (Old Orthography)
613,Череповецъ,"Cherepovets""",Russian (Old Orthography)
614,Чернухи,Chernukhi,Russian (Old Orthography)
615,Чечерскъ,"Chechersk""",Russian (Old Orthography)
616,Чугуевъ,"Chuguev""",Russian (Old Orthography)
617,Чупаховка,Chupakhovka,Russian (Old Orthography)
618,Шамово,Shamovo,Russian (Old Orthography)
619,Шумячи,Shumiachi,Russian (Old Orthography)
620,Юнаковка,Iunakovka,Russian (Old Orthography)
621,Яготинъ,"Iagotin""",Russian (Old Orthography)
622,Ядринъ,"Iadrin""",Russian (Old Orthography)
623,Ямполь,Iampol',Russian (Old Orthography)
624,Ямская,Iamskaia,Russian (Old Orthography)
625,Подолъ,"Podol""",Russian (Old Orthography)
626,Клинъ,"Klin""",Russian (Old Orthography)
627,Авдулово,Avdulovo,Russian (Old Orthography)
628,Андреевка,Andreevka,Russian (Old Orthography)
629,Алексѣевка,Aleksieevka,Russian (Old Orthography)
630,Шадринскъ,"Shadrinsk""",Russian (Old Orthography)
631,Покровское,Pokrovskoe,Russian (Old Orthography)
632,Троицкое,Troitskoe,Russian (Old Orthography)
633,Ильинское,Il'inskoe,Russian (Old Orthography)
634,Рожественское,Rozhestvenskoe,Russian (Old Orthography)
635,Ивановское,Ivanovskoe,Russian (Old Orthography)
636,Спаское,Spaskoe,Russian (Old Orthography)
637,Семеновское,Semenovskoe,Russian (Old Orthography)
638,Спаскъ,"Spask""",Russian (Old Orthography)
639,Цывильскъ,"Tsyvil'sk""",Russian (Old Orthography)
640,Михайловка,Mikhailovka,Russian (Old Orthography)
641,Бѣлой,Bieloi,Russian (Old Orthography)
642,Ивановка,Ivanovka,Russian (Old Orthography)
643,Карловка,Karlovka,Russian (Old Orthography)
644,Петровская,Petrovskaia,Russian (Old Orthography)
645,Павлоградъ,"Pavlograd""",Russian (Old Orthography)
646,Ямполь,Iampol',Russian (Old Orthography)
647,Сватова Лучка,Svatova Luchka,Russian (Old Orthography)
648,Каменка,Kamenka,Russian (Old Orthography)
649,Ольховатка,Ol'khovatka,Russian (Old Orthography)
650,Валки,Valki,Russian (Old Orthography)
651,Сумская Ворожба,Sumskaia Vorozhba,Russian (Old Orthography)
652,Конобѣево,Konobieevo,Russian (Old Orthography)
653,Горки,Gorki,Russian (Old Orthography)
654,Малино,Malino,Russian (Old Orthography)
655,Борисовъ,"Borisov""",Russian (Old Orthography)
656,Порѣчье,Poriech'e,Russian (Old Orthography)
657,Раменье,Ramen'e,Russian (Old Orthography)
658,Вильманстрандъ,"Vil'manstrand""",Russian (Old Orthography)
659,Быковъ,"Bykov""",Russian (Old Orthography)
660,Веприкъ,"Veprik""",Russian (Old Orthography)
661,Роменъ,"Romen""",Russian (Old Orthography)
662,Городня,Gorodnia,Russian (Old Orthography)
663,Рѣпки,Riepki,Russian (Old Orthography)
664,Великое,Velikoe,Russian (Old Orthography)
665,Молога,Mologa,Russian (Old Orthography)
666,Глѣбово,Gliebovo,Russian (Old Orthography)
667,Борисоглѣбскъ,"Borisogliebsk""",Russian (Old Orthography)
668,Романовъ,"Romanov""",Russian (Old Orthography)
669,Кударинская,Kudarinskaia,Russian (Old Orthography)
670,Носовичи,Nosovichi,Russian (Old Orthography)
671,Гомель,Gomel',Russian (Old Orthography)
672,Вѣтка,Vietka,Russian (Old Orthography)
673,Журавичи,Zhuravichi,Russian (Old Orthography)
674,Пропойскъ,"Propoisk""",Russian (Old Orthography)
675,Шкловъ,"Shklov""",Russian (Old Orthography)
676,Плоское,Ploskoe,Russian (Old Orthography)
677,Дубровна,Dubrovna,Russian (Old Orthography)
678,Ляды,Liady,Russian (Old Orthography)
679,Любавичи,Liubavichi,Russian (Old Orthography)
680,Духовщина,Dukhovshchina,Russian (Old Orthography)
681,Дорогобужъ,"Dorogobuzh""",Russian (Old Orthography)
682,Льговъ,"L'gov""",Russian (Old Orthography)
683,Тимъ,"Tim""",Russian (Old Orthography)
684,Щигры,Shchigry,Russian (Old Orthography)
685,Усмань,Usman',Russian (Old Orthography)
686,Демшинскъ,"Demshinsk""",Russian (Old Orthography)
687,Кирсановъ,"Kirsanov""",Russian (Old Orthography)
688,Кадомъ,"Kadom""",Russian (Old Orthography)
689,Воеводское,Voevodskoe,Russian (Old Orthography)
690,Дубровки,Dubrovki,Russian (Old Orthography)
691,Починки,Pochinki,Russian (Old Orthography)
692,Лукояновъ,"Lukoianov""",Russian (Old Orthography)
693,Княгининъ,"Kniaginin""",Russian (Old Orthography)
694,Горицы,Goritsy,Russian (Old Orthography)
695,Балахна,Balakhna,Russian (Old Orthography)
696,Семеновъ,"Semenov""",Russian (Old Orthography)
697,Трубчевскъ,"Trubchevsk""",Russian (Old Orthography)
698,Чернь,Chern',Russian (Old Orthography)
699,Скопинъ,"Skopin""",Russian (Old Orthography)
700,Пронскъ,"Pronsk""",Russian (Old Orthography)
701,Спасъ,"Spas""",Russian (Old Orthography)
702,Старица,Staritsa,Russian (Old Orthography)
703,Слободской,Slobodskoi,Russian (Old Orthography)
704,Яранскъ,"Iaransk""",Russian (Old Orthography)
705,Святогорской,Sviatogorskoi,Russian (Old Orthography)
706,Туринскъ,"Turinsk""",Russian (Old Orthography)
707,Богатый,Bogatyi,Russian (Old Orthography)
708,Боровичи,Borovichi,Russian (Old Orthography)
709,Валдай,Valdai,Russian (Old Orthography)
710,Березинъ,"Berezin""",Russian (Old Orthography)
711,Березовъ,"Berezov""",Russian (Old Orthography)
712,Вышній Волочокъ,"Vyshnіi Volochok""",Russian (Old Orthography)
713,Габзаль,Gabzal',Russian (Old Orthography)
714,Гжать,Gzhat',Russian (Old Orthography)
715,Елисаветъ-Градъ,"Elisavet""-Grad""",Russian (Old Orthography)
716,Зинковъ,"Zinkov""",Russian (Old Orthography)
717,Кириловъ,"Kirilov""",Russian (Old Orthography)
718,Малой Архангельскъ,"Maloi Arkhangel'sk""",Russian (Old Orthography)
719,Малой Ярославецъ,"Maloi Iaroslavets""",Russian (Old Orthography)
720,Мангазея,Mangazeia,Russian (Old Orthography)
721,Мглинъ,"Mglin""",Russian (Old Orthography)
722,Нейшлотъ,"Neishlot""",Russian (Old Orthography)
723,Переславль Залѣской,Pereslavl' Zalieskoi,Russian (Old Orthography)
724,Перновъ,"Pernov""",Russian (Old Orthography)
725,Пудога,Pudoga,Russian (Old Orthography)
726,Ржевъ Володимеровъ,"Rzhev"" Volodimerov""",Russian (Old Orthography)
727,Рѣзыцы,Riezytsy,Russian (Old Orthography)
728,Соль-Галицкая,Sol'-Galitskaia,Russian (Old Orthography)
729,Старой Осколъ,"Staroi Oskol""",Russian (Old Orthography)
730,Устюжна Желѣзопольская,Ustiuzhna Zheliezopol'skaia,Russian (Old Orthography)
731,Фридрихсгамъ,"Fridrikhsgam""",Russian (Old Orthography)
732,Хоперскъ,"Khopersk""",Russian (Old Orthography)
733,Далматовъ,"Dalmatov""",Russian (Old Orthography)
734,Хотьмышскъ,"Khot'myshsk""",Russian (Old Orthography)
735,Чаусы,Chausy,Russian (Old Orthography)
736,Ченбаръ,"Chenbar""",Russian (Old Orthography)
737,Чердынь,Cherdyn',Russian (Old Orthography)
738,Шешкѣевъ,"Sheshkieev""",Russian (Old Orthography)
739,Богородицкъ,"Bogoroditsk""",Russian (Old Orthography)
740,Борисоглѣбской,Borisogliebskoi,Russian (Old Orthography)
741,Красной Колядинъ,"Krasnoi Koliadin""",Russian (Old Orthography)
742,Петропавловской,Petropavlovskoi,Russian (Old Orthography)
743,Успенской,Uspenskoi,Russian (Old Orthography)
744,Старорусский уѣздѣ,Starorusskii uiezdie,Russian (Old Orthography)
745,Любенский уѣздѣ,Liubenskii uiezdie,Russian (Old Orthography)
746,Полтавский уѣздѣ,Poltavskii uiezdie,Russian (Old Orthography)
747,Российская империя,Rossiiskaia imperiia,Russian (Old Orthography)
748,Верховажской,Verkhovazhskoi,Russian (Old Orthography)
749,Верхній Удинскъ,"Verkhnіi Udinsk""",Russian (Old Orthography)
750,Волскъ,"Volsk""",Russian (Old Orthography)
751,Воронцовка,Vorontsovka,Russian (Old Orthography)
752,Выборъ,"Vybor""",Russian (Old Orthography)
753,Александровское,Aleksandrovskoe,Russian (Old Orthography)
754,Вилюйское Верхнее,Viliuiskoe Verkhnee,Russian (Old Orthography)
755,Вознесенской,Voznesenskoi,Russian (Old Orthography)
756,Володимерецъ,"Volodimerets""",Russian (Old Orthography)