"Good","None","Ярославское Наместничество","Черниговское Наместничество","Харьковское Наместничество","Уфимское Наместничество","Тульское Наместничество","Тобольское Наместничество","Тверское Наместничество","Тамбовское Наместничество","Ст Петербургская Губерния","Смоленское Наместничество","Синбирское Наместничество","Саратовское Наместничество","Рязанское Наместничество","Рижское Наместничество","Псковское Наместничество","Полотское Наместничество","Пермское Наместничество","Пензенское Наместничество","Орловское Наместничество","Олонецкое Наместничество","Новогородское Наместничество","Новогород - Северское Наместничество","Нижегородское Наместничество","Московская Губерния","Могилевское Наместничество","Курское Наместничество","Костромское Наместничество","Киевское Наместничество","Калужское Наместничество","Казанское Наместничество","Кавказское Наместничество","Иркутское Наместничество","Екатеринославское Наместничество","Вятское Наместничество","Выборгское Наместничество","Воронежское Наместничество","Вологодское Наместничество","Владимерское Наместничество","Архангельское Наместничество"
"мелочный товар (petty goods)",7,4,12,17,5,24,1,17,18,0,0,2,2,9,0,11,27,2,10,10,0,0,9,2,10,0,2,7,23,7,3,0,2,2,2,0,2,11,9,2
"шелковый товар (silk goods)",5,4,3,24,0,1,0,7,8,0,0,6,3,2,2,3,0,0,6,5,2,1,1,1,6,0,4,4,1,10,2,1,0,0,2,0,4,0,2,1
"съестной припасы (edible goods)",0,2,15,2,0,7,0,7,2,1,1,1,1,2,0,0,0,1,0,6,0,2,0,3,7,0,0,1,7,2,1,0,0,2,0,1,0,2,0,0
"бумажный товар (paper goods)",4,1,2,17,1,0,0,5,6,0,0,1,0,1,1,1,0,0,1,0,2,0,0,0,2,0,2,1,1,9,1,1,0,0,2,0,2,0,1,1
"деревянный товар (wooden goods)",0,4,8,0,0,8,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,5,0,0,0,7,0,1,0,0,1,0,0,0,0,1,2
"крестьянский товар (peasant goods)",0,0,5,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,11,1,1,1,1,8,1,0,0,1,0,0,1,0,2,0
"москательный товар (paints, industrial oils, etc.)",2,2,0,0,0,13,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,1,0,1
"мелкий товар (fine goods)",0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,2,0,3,0,10,1,0,0,0,0,0,0,2,0,2,0
"лавочный товар (Lavochne goods)",1,0,3,3,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0
"рукоделие (needlework)",0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0
"шерстяной товар (woolen goods)",1,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"красный товар ('red' goods)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"гарусный товар (worsted goods)",1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"особливый товар (special little goods)",1,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"мелочь (trifles)",0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"серебреный товар (silver goods)",0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
"деревенский товар (country goods)",1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"крамными товар (Kramnoy goods)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"небогатый товар (poor quality goods)",0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"железный товар (iron goods)",0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"мясо (meats)",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"приуготовлять (preparations)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1
"нужный товар (necessary goods)",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"пушной товар (fur goods)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"набойчатый товар (printed cloth goods)",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"щепетильный товар (scrupulous goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"внутренний товар (domestic goods)",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"суровский товар (workshop goods)",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"недорогой товар (inexpensive goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"питейный припасы (drinking supplies)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"медный товар (copper goods)",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"привозный товар (imported goods)",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"оловянный товар (tin goods)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"произрастание (growth, vegetation)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"купецкий товар (merchant goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"заморский товар (overseas goods)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"галантерейный товар (dry goods)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"меховой товар (fur goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"рукодельный товар (handicrafts/handmade goods)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"надлежащий товар (appropriate goods)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"харчевой припасы (tavern supplies)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"домовый товар (household goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
